"section","np","x_over_c","eta","z_over_c","cp","surface","source"
"5","39","0.07448","0.9","0.03322","-1.14","upper","NASA Glenn ONERA M6 test 2308"
"5","38","0.09994","0.9","0.03621","-1.093","upper","NASA Glenn ONERA M6 test 2308"
"5","37","0.13986","0.9","0.03995","-1.048","upper","NASA Glenn ONERA M6 test 2308"
"5","36","0.17979","0.9","0.04286","-1.002","upper","NASA Glenn ONERA M6 test 2308"
"5","35","0.22001","0.9","0.04515","-0.999","upper","NASA Glenn ONERA M6 test 2308"
"5","34","0.25964","0.9","0.04681","-0.981","upper","NASA Glenn ONERA M6 test 2308"
"5","33","0.29983","0.9","0.048","-0.341","upper","NASA Glenn ONERA M6 test 2308"
"5","32","0.33985","0.9","0.04869","-0.195","upper","NASA Glenn ONERA M6 test 2308"
"5","31","0.37986","0.9","0.04892","-0.18","upper","NASA Glenn ONERA M6 test 2308"
"5","30","0.41959","0.9","0.04867","-0.208","upper","NASA Glenn ONERA M6 test 2308"
"5","29","0.45975","0.9","0.04789","-0.238","upper","NASA Glenn ONERA M6 test 2308"
"5","28","0.4996","0.9","0.0465","-0.22","upper","NASA Glenn ONERA M6 test 2308"
"5","27","0.53959","0.9","0.04452","-0.2","upper","NASA Glenn ONERA M6 test 2308"
"5","26","0.57961","0.9","0.04214","-0.162","upper","NASA Glenn ONERA M6 test 2308"
"5","25","0.61987","0.9","0.03938","-0.138","upper","NASA Glenn ONERA M6 test 2308"
"5","24","0.65968","0.9","0.03637","-0.107","upper","NASA Glenn ONERA M6 test 2308"
"5","23","0.6997","0.9","0.03308","-0.085","upper","NASA Glenn ONERA M6 test 2308"
"5","22","0.7394","0.9","0.02949","-0.057","upper","NASA Glenn ONERA M6 test 2308"
"5","21","0.7796","0.9","0.02567","-0.021","upper","NASA Glenn ONERA M6 test 2308"
"5","20","0.81937","0.9","0.02157","0.021","upper","NASA Glenn ONERA M6 test 2308"
"5","19","0.85955","0.9","0.01709","0.059","upper","NASA Glenn ONERA M6 test 2308"
"5","18","0.8994","0.9","0.01246","0.099","upper","NASA Glenn ONERA M6 test 2308"
"5","17","0.94727","0.9","0.00755","0.156","upper","NASA Glenn ONERA M6 test 2308"
"5","16","0.98506","0.9","0.00266","0.211","upper","NASA Glenn ONERA M6 test 2308"
"6","15","0.94953","0.96","-0.00734","0.126","lower","NASA Glenn ONERA M6 test 2308"
"6","14","0.84934","0.96","-0.01823","0.021","lower","NASA Glenn ONERA M6 test 2308"
"6","13","0.74963","0.96","-0.02854","-0.056","lower","NASA Glenn ONERA M6 test 2308"
"6","12","0.6498","0.96","-0.03714","-0.121","lower","NASA Glenn ONERA M6 test 2308"
"6","11","0.54955","0.96","-0.04396","-0.173","lower","NASA Glenn ONERA M6 test 2308"
"6","10","0.44998","0.96","-0.04814","-0.24","lower","NASA Glenn ONERA M6 test 2308"
"6","9","0.3499","0.96","-0.0488","-0.254","lower","NASA Glenn ONERA M6 test 2308"
"6","8","0.24997","0.96","-0.04645","-0.301","lower","NASA Glenn ONERA M6 test 2308"
"6","7","0.15016","0.96","-0.04078","-0.293","lower","NASA Glenn ONERA M6 test 2308"
"6","6","0.10019","0.96","-0.03624","-0.241","lower","NASA Glenn ONERA M6 test 2308"
"6","5","0.06521","0.96","-0.03198","-0.17","lower","NASA Glenn ONERA M6 test 2308"
"6","4","0.03999","0.96","-0.02803","-0.158","lower","NASA Glenn ONERA M6 test 2308"
"6","3","0.01985","0.96","-0.02268","-0.074","lower","NASA Glenn ONERA M6 test 2308"
"6","2","0.00567","0.96","-0.01305","0.51","lower","NASA Glenn ONERA M6 test 2308"
"6","1","0.00068","0.96","0.00449","0.69","upper","NASA Glenn ONERA M6 test 2308"
"6","45","0.0019","0.96","0.00749","0.229","upper","NASA Glenn ONERA M6 test 2308"
"6","44","0.00623","0.96","0.01365","-0.152","upper","NASA Glenn ONERA M6 test 2308"
"6","43","0.01209","0.96","0.01851","-0.598","upper","NASA Glenn ONERA M6 test 2308"
"6","42","0.01983","0.96","0.02268","-0.983","upper","NASA Glenn ONERA M6 test 2308"
"6","41","0.02991","0.96","0.02584","-1.196","upper","NASA Glenn ONERA M6 test 2308"
"6","40","0.04972","0.96","0.02967","-1.227","upper","NASA Glenn ONERA M6 test 2308"
"6","39","0.07488","0.96","0.03329","-1.177","upper","NASA Glenn ONERA M6 test 2308"
"6","38","0.09991","0.96","0.0362","-1.134","upper","NASA Glenn ONERA M6 test 2308"
"6","37","0.13983","0.96","0.03994","-1.127","upper","NASA Glenn ONERA M6 test 2308"
"6","36","0.17999","0.96","0.04272","-1.136","upper","NASA Glenn ONERA M6 test 2308"
"6","35","0.2201","0.96","0.04514","-0.559","upper","NASA Glenn ONERA M6 test 2308"
"6","34","0.25996","0.96","0.04681","-0.282","upper","NASA Glenn ONERA M6 test 2308"
"6","33","0.29994","0.96","0.04799","-0.159","upper","NASA Glenn ONERA M6 test 2308"
"6","32","0.34008","0.96","0.04869","-0.179","upper","NASA Glenn ONERA M6 test 2308"
"6","31","0.37994","0.96","0.04891","-0.218","upper","NASA Glenn ONERA M6 test 2308"
"6","30","0.41988","0.96","0.04867","-0.238","upper","NASA Glenn ONERA M6 test 2308"
"6","29","0.45976","0.96","0.0479","-0.242","upper","NASA Glenn ONERA M6 test 2308"
"6","28","0.49994","0.96","0.04649","-0.216","upper","NASA Glenn ONERA M6 test 2308"
"6","27","0.53988","0.96","0.0445","-0.197","upper","NASA Glenn ONERA M6 test 2308"
